stid,variable_pattern,lo,hi,season
NUK_K,p_[ul],877.96,958.79,
NUK_K,p_i,-122.04,-41.21,
NUK_K,wspd_[uli],-12.00,24.74,
NUK_K,t_[uli],-34.22,11.27,winter
NUK_K,t_[uli],-33.10,16.28,spring
NUK_K,t_[uli],-12.57,21.40,summer
NUK_K,t_[uli],-27.04,15.72,fall
SWC_O,p_[ul],831.20,909.80,
SWC_O,p_i,-168.80,-90.20,
SWC_O,wspd_[uli],-11.68,30.80,
SWC_O,t_[uli],-49.84,6.70,winter
SWC_O,t_[uli],-36.90,9.20,spring
SWC_O,t_[uli],-20.90,13.40,summer
SWC_O,t_[uli],-36.82,12.00,fall
KPC_L,p_[ul],924.86,1006.19,
KPC_L,p_i,-75.14,6.19,
KPC_L,wspd_[uli],-11.89,29.23,
KPC_L,t_[uli],-45.45,2.16,winter
KPC_L,t_[uli],-44.70,9.46,spring
KPC_L,t_[uli],-16.81,16.08,summer
KPC_L,t_[uli],-39.66,9.46,fall
EGP,p_[ul],675.50,752.80,
EGP,p_i,-324.50,-247.20,
EGP,wspd_[uli],-12.00,24.10,
EGP,t_[uli],-69.45,-10.18,winter
EGP,t_[uli],-66.58,1.41,spring
EGP,t_[uli],-37.66,8.45,summer
EGP,t_[uli],-62.60,4.00,fall
CEN2,p_[ul],762.74,826.00,
CEN2,p_i,-237.26,-174.00,
CEN2,wspd_[uli],-12.00,26.81,
CEN2,t_[uli],-36.00,-6.10,winter
CEN2,t_[uli],-32.30,2.20,spring
CEN2,t_[uli],-30.50,7.60,summer
CEN2,t_[uli],-53.70,-1.60,fall
MIT,p_[ul],900.19,993.97,
MIT,p_i,-99.81,-6.03,
MIT,wspd_[uli],-12.00,28.26,
MIT,t_[uli],-29.36,10.81,winter
MIT,t_[uli],-31.05,14.54,spring
MIT,t_[uli],-11.51,19.61,summer
MIT,t_[uli],-23.66,14.59,fall
TUN,p_[ul],744.83,807.00,
TUN,p_i,-255.17,-193.00,
TUN,wspd_[uli],-11.85,24.81,
TUN,t_[uli],-51.90,-3.65,winter
TUN,t_[uli],-55.90,1.40,spring
TUN,t_[uli],-31.70,8.90,summer
TUN,t_[uli],-56.40,8.10,fall
KPC_U,p_[ul],864.79,941.47,
KPC_U,p_i,-135.21,-58.53,
KPC_U,wspd_[uli],-12.00,27.73,
KPC_U,t_[uli],-51.46,-0.09,winter
KPC_U,t_[uli],-50.44,6.79,spring
KPC_U,t_[uli],-21.11,12.77,summer
KPC_U,t_[uli],-45.74,6.19,fall
UPE_L,p_[ul],940.00,1023.48,
UPE_L,p_i,-60.00,23.48,
UPE_L,wspd_[uli],-12.00,29.37,
UPE_L,t_[uli],-40.29,11.55,winter
UPE_L,t_[uli],-40.90,15.97,spring
UPE_L,t_[uli],-13.15,19.28,summer
UPE_L,t_[uli],-29.23,15.26,fall
KAN_M,p_[ul],816.70,896.46,
KAN_M,p_i,-183.30,-103.54,
KAN_M,wspd_[uli],-12.00,31.99,
KAN_M,t_[uli],-50.27,6.21,winter
KAN_M,t_[uli],-48.60,11.85,spring
KAN_M,t_[uli],-21.57,12.59,summer
KAN_M,t_[uli],-42.77,11.79,fall
QAS_A,p_[ul],838.61,919.19,
QAS_A,p_i,-161.39,-80.81,
QAS_A,wspd_[uli],-12.00,28.55,
QAS_A,t_[uli],-36.80,3.98,winter
QAS_A,t_[uli],-36.71,17.11,spring
QAS_A,t_[uli],-15.24,18.32,summer
QAS_A,t_[uli],-31.06,13.03,fall
NSE,p_[ul],694.70,784.80,
NSE,p_i,-305.30,-215.20,
NSE,wspd_[uli],-12.00,29.18,
NSE,t_[uli],-56.60,-2.40,winter
NSE,t_[uli],-53.54,-20.79,spring
NSE,t_[uli],-29.20,11.00,summer
NSE,t_[uli],-48.70,6.40,fall
UPE_U,p_[ul],852.55,932.91,
UPE_U,p_i,-147.45,-67.09,
UPE_U,wspd_[uli],-11.93,29.59,
UPE_U,t_[uli],-45.20,6.30,winter
UPE_U,t_[uli],-45.68,13.19,spring
UPE_U,t_[uli],-18.84,14.93,summer
UPE_U,t_[uli],-36.32,11.26,fall
QAS_M,p_[ul],884.52,970.17,
QAS_M,p_i,-115.48,-29.83,
QAS_M,wspd_[uli],-12.00,29.35,
QAS_M,t_[uli],-34.30,11.12,winter
QAS_M,t_[uli],-29.77,16.09,spring
QAS_M,t_[uli],-11.57,16.11,summer
QAS_M,t_[uli],-25.79,14.85,fall
QAS_L,p_[ul],924.21,1013.41,
QAS_L,p_i,-75.79,13.41,
QAS_L,wspd_[uli],-12.00,30.08,
QAS_L,t_[uli],-30.44,15.21,winter
QAS_L,t_[uli],-29.98,17.38,spring
QAS_L,t_[uli],-9.46,18.98,summer
QAS_L,t_[uli],-23.72,17.12,fall
NUK_L,p_[ul],897.14,980.03,
NUK_L,p_i,-102.86,-19.97,
NUK_L,wspd_[uli],-12.00,27.23,
NUK_L,t_[uli],-35.82,14.42,winter
NUK_L,t_[uli],-35.35,18.04,spring
NUK_L,t_[uli],-10.63,20.76,summer
NUK_L,t_[uli],-29.31,17.66,fall
NAU,p_[ul],715.60,783.20,
NAU,p_i,-284.40,-216.80,
NAU,wspd_[uli],-11.53,28.77,
NAU,t_[uli],-58.30,-2.90,winter
NAU,t_[uli],-49.70,1.50,spring
NAU,t_[uli],-34.79,7.90,summer
NAU,t_[uli],-55.70,9.50,fall
JAR,p_[ul],881.00,929.00,
JAR,p_i,-119.00,-71.00,
JAR,wspd_[uli],-11.62,29.82,
JAR,t_[uli],-14.60,13.30,summer
FRE,p_[ul],800,1000,
FRE,p_i,-200,0,
FRE,wspd_[uli],-12.00,22.62,
FRE,t_[uli],-38.20,10.02,winter
FRE,t_[uli],-36.55,18.07,spring
FRE,t_[uli],-12.61,22.82,summer
FRE,t_[uli],-33.93,17.69,fall
CP1,p_[ul],747.90,826.00,
CP1,p_i,-252.10,-174.00,
CP1,wspd_[uli],-12.00,31.70,
CP1,t_[uli],-58.30,1.10,winter
CP1,t_[uli],-46.40,6.70,spring
CP1,t_[uli],-26.70,10.80,summer
CP1,t_[uli],-49.30,10.40,fall
KAN_U,p_[ul],755.36,834.53,
KAN_U,p_i,-244.64,-165.47,
KAN_U,wspd_[uli],-12.00,33.94,
KAN_U,t_[uli],-53.53,2.20,winter
KAN_U,t_[uli],-52.57,10.38,spring
KAN_U,t_[uli],-26.67,11.61,summer
KAN_U,t_[uli],-47.97,9.90,fall
KAN_L,p_[ul],884.10,967.42,
KAN_L,p_i,-115.90,-32.58,
KAN_L,wspd_[uli],-12.00,28.45,
KAN_L,t_[uli],-41.57,11.24,winter
KAN_L,t_[uli],-40.69,15.09,spring
KAN_L,t_[uli],-13.58,16.95,summer
KAN_L,t_[uli],-33.55,15.56,fall
QAS_Uv3,p_[ul],859.94,946.06,
QAS_Uv3,p_i,-140.06,-53.94,
QAS_Uv3,wspd_[uli],-12.00,29.09,
QAS_Uv3,t_[uli],-36.70,7.70,winter
QAS_Uv3,t_[uli],-28.80,13.10,spring
QAS_Uv3,t_[uli],-12.29,15.20,summer
QAS_Uv3,t_[uli],-25.20,14.90,fall
ZAK_L,p_[ul],887.39,966.32,
ZAK_L,p_i,-112.61,-33.68,
ZAK_L,wspd_[uli],-11.97,25.32,
ZAK_L,t_[uli],-37.76,11.67,winter
ZAK_L,t_[uli],-35.50,16.92,spring
ZAK_L,t_[uli],-13.01,21.22,summer
ZAK_L,t_[uli],-33.80,14.72,fall
NEM,p_[ul],657.30,1013.98,
NEM,p_i,-342.70,13.98,
NEM,wspd_[uli],-12.00,25.85,
NEM,t_[uli],-30.58,7.20,summer
NEM,t_[uli],-58.60,-6.10,fall
NUK_U,p_[ul],832.02,911.63,
NUK_U,p_i,-167.98,-88.37,
NUK_U,wspd_[uli],-12.00,32.44,
NUK_U,t_[uli],-41.31,9.59,winter
NUK_U,t_[uli],-41.67,14.44,spring
NUK_U,t_[uli],-15.56,16.13,summer
NUK_U,t_[uli],-34.98,13.45,fall
TAS_A,p_[ul],847.23,942.82,
TAS_A,p_i,-152.77,-57.18,
TAS_A,wspd_[uli],-12.00,37.72,
TAS_A,t_[uli],-36.02,7.45,winter
TAS_A,t_[uli],-32.13,15.79,spring
TAS_A,t_[uli],-15.13,19.41,summer
TAS_A,t_[uli],-28.88,13.28,fall
HUM,p_[ul],669.63,963.00,
HUM,p_i,-330.37,-37.00,
HUM,wspd_[uli],-11.12,32.84,
HUM,t_[uli],-58.80,-2.63,winter
HUM,t_[uli],-27.90,9.70,summer
HUM,t_[uli],-56.20,9.10,fall
NUK_N,p_[ul],854.24,934.01,
NUK_N,p_i,-145.76,-65.99,
NUK_N,wspd_[uli],-12.00,32.87,
NUK_N,t_[uli],-37.90,7.89,winter
NUK_N,t_[uli],-35.67,15.68,spring
NUK_N,t_[uli],-16.90,14.72,summer
NUK_N,t_[uli],-32.96,12.92,fall
TAS_U,p_[ul],885.32,979.02,
TAS_U,p_i,-114.68,-20.98,
TAS_U,wspd_[uli],-12.00,38.30,
TAS_U,t_[uli],-31.91,10.66,winter
TAS_U,t_[uli],-33.16,13.20,spring
TAS_U,t_[uli],-12.88,16.75,summer
TAS_U,t_[uli],-25.74,14.06,fall
KAN_B,p_[ul],920.85,1004.05,
KAN_B,p_i,-79.15,4.05,
KAN_B,wspd_[uli],-12.00,24.36,
KAN_B,t_[uli],-40.72,12.98,winter
KAN_B,t_[uli],-40.23,19.02,spring
KAN_B,t_[uli],-10.71,22.39,summer
KAN_B,t_[uli],-32.22,18.16,fall
TAS_L,p_[ul],721.70,1021.25,
TAS_L,p_i,-278.30,21.25,
TAS_L,wspd_[uli],-12.00,38.73,
TAS_L,t_[uli],-29.33,12.68,winter
TAS_L,t_[uli],-30.18,18.26,spring
TAS_L,t_[uli],-11.96,18.32,summer
TAS_L,t_[uli],-22.81,15.56,fall
NAE,p_[ul],708.75,752.65,
NAE,p_i,-291.25,-247.35,
NAE,wspd_[uli],-11.33,23.10,
NAE,t_[uli],-18.36,5.64,spring
NAE,t_[uli],-21.17,6.71,summer
SCO_U,p_[ul],848.32,931.61,
SCO_U,p_i,-151.68,-68.39,
SCO_U,wspd_[uli],-11.81,22.90,
SCO_U,t_[uli],-41.38,3.73,winter
SCO_U,t_[uli],-41.01,13.32,spring
SCO_U,t_[uli],-15.98,15.61,summer
SCO_U,t_[uli],-36.27,12.11,fall
SWC,p_[ul],831.00,1037.70,
SWC,p_i,-169.00,37.70,
SWC,wspd_[uli],-12.00,30.26,
SWC,t_[uli],-43.60,5.80,winter
SWC,t_[uli],-50.30,11.70,spring
SWC,t_[uli],-19.20,12.90,summer
SWC,t_[uli],-40.10,9.60,fall
NUK_Uv3,p_[ul],830.00,910.00,
NUK_Uv3,p_i,-170.00,-90.00,
NUK_Uv3,wspd_[uli],-12.00,29.36,
NUK_Uv3,t_[uli],-43.00,7.40,winter
NUK_Uv3,t_[uli],-38.00,12.10,spring
NUK_Uv3,t_[uli],-16.30,15.10,summer
NUK_Uv3,t_[uli],-15.80,13.60,fall
DY2,p_[ul],730.70,810.50,
DY2,p_i,-269.30,-189.50,
DY2,wspd_[uli],-11.67,35.46,
DY2,t_[uli],-54.50,-0.90,winter
DY2,t_[uli],-47.30,8.60,spring
DY2,t_[uli],-27.90,10.70,summer
DY2,t_[uli],-45.80,11.70,fall
SDM,p_[ul],650.30,734.00,
SDM,p_i,-349.70,-266.00,
SDM,wspd_[uli],-12.00,32.30,
SDM,t_[uli],-53.80,-3.70,winter
SDM,t_[uli],-47.43,-9.40,spring
SDM,t_[uli],-30.20,10.50,summer
SDM,t_[uli],-46.80,9.90,fall
SCO_L,p_[ul],907.50,993.49,
SCO_L,p_i,-92.50,-6.51,
SCO_L,wspd_[uli],-12.00,21.02,
SCO_L,t_[uli],-39.09,6.94,winter
SCO_L,t_[uli],-37.55,14.65,spring
SCO_L,t_[uli],-12.10,17.57,summer
SCO_L,t_[uli],-32.92,12.85,fall
CEN1,p_[ul],750.48,827.52,
CEN1,p_i,-249.52,-172.48,
CEN1,wspd_[uli],-12.00,27.66,
CEN1,t_[uli],-58.65,-5.02,winter
CEN1,t_[uli],-59.82,4.05,spring
CEN1,t_[uli],-29.83,9.84,summer
CEN1,t_[uli],-51.78,1.83,fall
JAR_O,p_[ul],857.10,936.40,
JAR_O,p_i,-142.90,-63.60,
JAR_O,wspd_[uli],-12.00,29.85,
JAR_O,t_[uli],-46.70,7.90,winter
JAR_O,t_[uli],-35.10,10.00,spring
JAR_O,t_[uli],-18.90,14.50,summer
JAR_O,t_[uli],-33.50,12.70,fall
THU_U,p_[ul],874.94,953.23,
THU_U,p_i,-125.06,-46.77,
THU_U,wspd_[uli],-12.00,33.52,
THU_U,t_[uli],-45.91,1.58,winter
THU_U,t_[uli],-45.70,10.07,spring
THU_U,t_[uli],-17.64,17.01,summer
THU_U,t_[uli],-35.83,8.64,fall
THU_U2,p_[ul],875.63,956.76,
THU_U2,p_i,-124.37,-43.24,
THU_U2,wspd_[uli],-12.00,30.97,
THU_U2,t_[uli],-50.90,4.42,winter
THU_U2,t_[uli],-45.73,11.36,spring
THU_U2,t_[uli],-17.57,16.11,summer
THU_U2,t_[uli],-38.17,10.34,fall
Roof_GEUS,p_[ul],990.00,1038.00,
Roof_GEUS,p_i,-10.00,38.00,
Roof_GEUS,wspd_[uli],-12.00,16.81,
Roof_GEUS,t_[uli],,,spring
Roof_GEUS,t_[uli],2.58,38.21,summer
SDL,p_[ul],714.80,820.00,
SDL,p_i,-285.20,-180.00,
SDL,wspd_[uli],-12.00,30.05,
SDL,t_[uli],-54.80,-0.10,winter
SDL,t_[uli],-26.50,10.80,summer
SDL,t_[uli],-49.90,9.80,fall
THU_L,p_[ul],898.11,980.80,
THU_L,p_i,-101.89,-19.20,
THU_L,wspd_[uli],-12.00,34.21,
THU_L,t_[uli],-45.49,4.93,winter
THU_L,t_[uli],-42.79,13.77,spring
THU_L,t_[uli],-15.51,18.35,summer
THU_L,t_[uli],-34.05,11.15,fall
