field,standard_name,long_name,units,coverage_content_type,coordinates,instantaneous_hourly,where_to_find,comment
time,time,Time,yyyy-mm-dd HH:MM:SS,physicalMeasurement,time lat lon alt,,,
rec,record,Record,-,referenceInformation,time lat lon alt,,L0 or L2,
p_u,air_pressure,Air pressure (upper boom),hPa,physicalMeasurement,time lat lon alt,FALSE,,
p_l,air_pressure,Air pressure (lower boom),hPa,physicalMeasurement,time lat lon alt,FALSE,,
t_u,air_temperature,Air temperature (upper boom),degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_l,air_temperature,Air temperature (lower boom),degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
rh_u,relative_humidity,Relative humidity (upper boom),%,physicalMeasurement,time lat lon alt,FALSE,,
rh_u_cor,relative_humidity_corrected,Relative humidity (upper boom) - corrected,%,modelResult,time lat lon alt,FALSE,L2 or later,
qh_u,specific_humidity,Specific humidity (upper boom),kg/kg,modelResult,time lat lon alt,FALSE,L2 or later,
rh_l,relative_humidity,Relative humidity (lower boom),%,physicalMeasurement,time lat lon alt,FALSE,,
rh_l_cor,relative_humidity_corrected,Relative humidity (lower boom) - corrected,%,modelResult,time lat lon alt,FALSE,L2 or later,
qh_l,specific_humidity,Specific humidity (lower boom),kg/kg,modelResult,time lat lon alt,FALSE,L2 or later,
wspd_u,wind_speed,Wind speed (upper boom),m s-1,physicalMeasurement,time lat lon alt,FALSE,,
wspd_l,wind_speed,Wind speed (lower boom),m s-1,physicalMeasurement,time lat lon alt,FALSE,,
wdir_u,wind_from_direction,Wind from direction (upper boom),degrees,physicalMeasurement,time lat lon alt,FALSE,,
wdir_std_u,wind_from_direction_standard_deviation,Wind from direction (standard deviation),degrees,qualityInformation,time lat lon alt,FALSE,L0 or L2,
wdir_l,wind_from_direction,Wind from direction (lower boom),degrees,physicalMeasurement,time lat lon alt,FALSE,,
wspd_x_u,wind_speed_from_x_direction,Wind speed from x direction (upper boom),m s-1,modelResult,time lat lon alt,FALSE,L0 or L2,
wspd_y_u,wind_speed_from_y_direction,Wind speed from y direction (upper boom),m s-1,modelResult,time lat lon alt,FALSE,L0 or L2,
wspd_x_l,wind_speed_from_x_direction,Wind speed from x direction (lower boom),m s-1,modelResult,time lat lon alt,FALSE,L0 or L2,
wspd_y_l,wind_speed_from_y_direction,Wind speed from y direction (lower boom),m s-1,modelResult,time lat lon alt,FALSE,L0 or L2,
dsr,surface_downwelling_shortwave_flux,Downwelling shortwave radiation,W m-2,physicalMeasurement,time lat lon alt,FALSE,,
dsr_cor,surface_downwelling_shortwave_flux_corrected,Downwelling shortwave radiation - corrected,W m-2,modelResult,time lat lon alt,FALSE,L2 or later,
usr,surface_upwelling_shortwave_flux,Upwelling shortwave radiation,W m-2,physicalMeasurement,time lat lon alt,FALSE,,
usr_cor,surface_upwelling_shortwave_flux_corrected,Upwelling shortwave radiation - corrected,W m-2,modelResult,time lat lon alt,FALSE,L2 or later,
albedo,surface_albedo,Albedo,-,modelResult,time lat lon alt,FALSE,L2 or later,
dlr,surface_downwelling_longwave_flux,Downwelling longwave radiation,W m-2,physicalMeasurement,time lat lon alt,FALSE,,
ulr,surface_upwelling_longwave_flux,Upwelling longwave radiation,W m-2,physicalMeasurement,time lat lon alt,FALSE,,
cc,cloud_area_fraction,Cloud cover,%,modelResult,time lat lon alt,FALSE,L2 or later,
t_surf,surface_temperature,Surface temperature,C,modelResult,time lat lon alt,FALSE,L2 or later,
dlhf_u,surface_downward_latent_heat_flux,Latent heat flux (upper boom),W m-2,modelResult,time lat lon alt,FALSE,L3 or later,
dlhf_l,surface_downward_latent_heat_flux,Latent heat flux (lower boom),W m-2,modelResult,time lat lon alt,FALSE,L3 or later,
dshf_u,surface_downward_sensible_heat_flux,Sensible heat flux (upper boom),W m-2,modelResult,time lat lon alt,FALSE,L3 or later,
dshf_l,surface_downward_sensible_heat_flux,Sensible heat flux (lower boom),W m-2,modelResult,time lat lon alt,FALSE,L3 or later,
z_boom_u,distance_to_surface_from_boom,Upper boom height,m,physicalMeasurement,time lat lon alt,TRUE,,
z_boom_q_u,distance_to_surface_from_boom_quality,Upper boom height (quality),-,qualityInformation,time lat lon alt,TRUE,L0 or L2,
z_boom_l,distance_to_surface_from_boom,Lower boom height,m,physicalMeasurement,time lat lon alt,TRUE,,
z_boom_q_l,distance_to_surface_from_boom_quality,Lower boom height (quality),-,qualityInformation,time lat lon alt,TRUE,L0 or L2,
z_stake,distance_to_surface_from_stake_assembly,Stake height,m,physicalMeasurement,time lat lon alt,TRUE,,
z_stake_q,distance_to_surface_from_stake_assembly_quality,Stake height (quality),-,qualityInformation,time lat lon alt,TRUE,L0 or L2,
z_pt,depth_of_pressure_transducer_in_ice,Depth of pressure transducer in ice,m,physicalMeasurement,time lat lon alt,FALSE,,
z_pt_cor,depth_of_pressure_transducer_in_ice_corrected,Depth of pressure transducer in ice - corrected,m,modelResult,time lat lon alt,FALSE,L2 or later,
precip_u,precipitation,Precipitation (upper boom) (cumulative solid & liquid),mm,physicalMeasurement,time lat lon alt,TRUE,,Without wind/undercatch correction
precip_u_cor,precipitation_corrected,Precipitation (upper boom) (cumulative solid & liquid) – corrected,mm,modelResult,time lat lon alt,TRUE,L2 or later,With wind/undercatch correction
precip_u_rate,precipitation_rate,Precipitation rate (upper boom) (cumulative solid & liquid) – corrected,mm,modelResult,time lat lon alt,TRUE,L2 or later,
precip_l,precipitation,Precipitation (lower boom) (cumulative solid & liquid),mm,physicalMeasurement,time lat lon alt,TRUE,,Without wind/undercatch correction
precip_l_cor,precipitation_corrected,Precipitation (lower boom) (cumulative solid & liquid) – corrected,mm,modelResult,time lat lon alt,TRUE,L2 or later,With wind/undercatch correction
precip_l_rate,precipitation_rate,Precipitation rate (lower boom) (cumulative solid & liquid) – corrected,mm,modelResult,time lat lon alt,TRUE,L2 or later,
t_i_1,ice_temperature_at_t1,Ice temperature at sensor 1,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_2,ice_temperature_at_t2,Ice temperature at sensor 2,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_3,ice_temperature_at_t3,Ice temperature at sensor 3,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_4,ice_temperature_at_t4,Ice temperature at sensor 4,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_5,ice_temperature_at_t5,Ice temperature at sensor 5,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_6,ice_temperature_at_t6,Ice temperature at sensor 6,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_7,ice_temperature_at_t7,Ice temperature at sensor 7,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_8,ice_temperature_at_t8,Ice temperature at sensor 8,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_9,ice_temperature_at_t9,Ice temperature at sensor 9,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_10,ice_temperature_at_t10,Ice temperature at sensor 10,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
t_i_11,ice_temperature_at_t11,Ice temperature at sensor 11,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
tilt_x,platform_view_angle_x,Tilt to east,degrees,physicalMeasurement,time lat lon alt,FALSE,,
tilt_y,platform_view_angle_y,Tilt to north,degrees,physicalMeasurement,time lat lon alt,FALSE,,
rot,platform_azimuth_angle,Station rotation from true North,degrees,physicalMeasurement,time lat lon alt,FALSE,,
gps_lat,gps_latitude,Latitude,degrees_north,coordinate,time lat lon alt,TRUE,,
gps_lon,gps_longitude,Longitude,degrees_east,coordinate,time lat lon alt,TRUE,,
gps_alt,gps_altitude,Altitude,m,coordinate,time lat lon alt,TRUE,,
gps_time,gps_time,GPS time,s,physicalMeasurement,time lat lon alt,TRUE,L0 or L2,
gps_geoid,gps_geoid_separation,Height of EGM96 geoid over WGS84 ellipsoid,m,physicalMeasurement,time lat lon alt,TRUE,L0 or L2,
gps_geounit,gps_geounit,GeoUnit,-,qualityInformation,time lat lon alt,TRUE,L0 or L2,
gps_hdop,gps_hdop,GPS horizontal dillution of precision (HDOP),m,qualityInformation,time lat lon alt,TRUE,L0 or L2,
gps_numsat,gps_numsat,GPS number of satellites,-,qualityInformation,time lat lon alt,TRUE,L0 or L2,
gps_q,gps_q,Quality,-,qualityInformation,time lat lon alt,TRUE,L0 or L2,
lat,gps_mean_latitude,GPS mean latitude (from all time-series),degrees,modelResult,time lat lon alt,TRUE,,
lon,gps_mean_longitude,GPS mean longitude (from all time-series),degrees,modelResult,time lat lon alt,TRUE,,
alt,gps_mean_altitude,GPS mean altitude (from all time-series),degrees,modelResult,time lat lon alt,TRUE,,
batt_v,battery_voltage,Battery voltage,V,physicalMeasurement,time lat lon alt,TRUE,,
batt_v_ini,,,-,physicalMeasurement,time lat lon alt,TRUE,L0 or L2,
batt_v_ss,battery_voltage_at_sample_start,Battery voltage (sample start),V,physicalMeasurement,time lat lon alt,TRUE,L0 or L2,
fan_dc_u,fan_current,Fan current (upper boom),mA,physicalMeasurement,time lat lon alt,TRUE,L0 or L2,
fan_dc_l,fan_current,Fan current (lower boom),mA,physicalMeasurement,time lat lon alt,TRUE,,
freq_vw,frequency_of_precipitation_wire_vibration,Frequency of vibrating wire in precipitation gauge,Hz,physicalMeasurement,time lat lon alt,TRUE,L0 or L2,
t_log,temperature_of_logger,Logger temperature,degrees_C,physicalMeasurement,time lat lon alt,TRUE,,
t_rad,temperature_of_radiation_sensor,Radiation sensor temperature,degrees_C,physicalMeasurement,time lat lon alt,FALSE,,
p_i,air_pressure,Air pressure (instantaneous) minus 1000,hPa,physicalMeasurement,time lat lon alt,TRUE,,
t_i,air_temperature,Air temperature (instantaneous),degrees_C,physicalMeasurement,time lat lon alt,TRUE,,
rh_i,relative_humidity,Relative humidity (instantaneous),%,physicalMeasurement,time lat lon alt,TRUE,,
rh_i_cor,relative_humidity_corrected,Relative humidity (instantaneous) – corrected,%,modelResult,time lat lon alt,TRUE,L2 or later,
wspd_i,wind_speed,Wind speed (instantaneous),m s-1,physicalMeasurement,time lat lon alt,TRUE,,
wdir_i,wind_from_direction,Wind from direction (instantaneous),degrees,physicalMeasurement,time lat lon alt,TRUE,,
wspd_x_i,wind_speed_from_x_direction,Wind speed from x direction (instantaneous),m s-1,modelResult,time lat lon alt,TRUE,L2 or later,
wspd_y_i,wind_speed_from_y_direction,Wind speed from y direction (instantaneous),m s-1,modelResult,time lat lon alt,TRUE,L2 or later,